NAME,COLOR,TESTVALUE,INDEX,SIG,CODE_8,CONT,CODE_LEG,SIG_ENG,CONT_EX,CODENAME,POP,POP_DATA
군위,#8497B0,10,140,군위군,37510,군위,4772000000,Gunwi-gun,군위,47720 군위군,23302,23
영천,#8497B0,10,141,영천시,37070,영천,4723000000,Yeongcheon-si,영천,47230 영천시,101181,101
청송,#8497B0,10,142,청송군,37530,청송,4775000000,Cheongsong-gun,청송,47750 청송군,24289,24
영덕,#8497B0,10,143,영덕군,37550,영덕,4777000000,Yeongdeok-gun,영덕,47770 영덕군,34759,34
포항 북구,#8497B0,10,144,북구,37012,북구,4711300000,Buk-gu,포항 북구,47113 북구,269545,269
서산,#669900,10,145,서산시,34050,서산,4421000000,Seosan-si,서산,44210 서산시,176312,176
아산,#669900,10,146,아산시,34040,아산,4420000000,Asan-si,아산,44200 아산시,332790,332
평택,#C00000,10,147,평택시,31070,평택,4122000000,Pyeongtaek-si,평택,41220 평택시,576192,576
수원 권선,#C00000,10,148,권선구,31012,권선,4111300000,Gwonseon-gu,수원 권선,41113 권선구,366453,366
수원 팔달,#C00000,10,149,팔달구,31013,팔달,4111500000,Paldal-gu,수원 팔달,41115 팔달구,191423,191
수원 영통,#C00000,10,150,영통구,31014,영통,4111700000,Yeongtong-gu,수원 영통,41117 영통구,360473,360
군포,#C00000,10,151,군포시,31160,군포,4141000000,Gunpo-si,군포,41410 군포시,266735,266
의왕,#C00000,10,152,의왕시,31170,의왕,4143000000,Uiwang-si,의왕,41430 의왕시,160563,160
성남 중원,#C00000,10,153,중원구,31022,중원,4113300000,Jungwon-gu,성남 중원,41133 중원구,205893,205
하남,#C00000,10,154,하남시,31180,하남,4145000000,Hanam-si,하남,41450 하남시,324674,324
상주,#8497B0,10,155,상주시,37080,상주,4725000000,Sangju-si,상주,47250 상주시,95026,95
구미,#8497B0,10,156,구미시,37050,구미,4719000000,Gumi-si,구미,47190 구미시,407993,407
의성,#8497B0,10,157,의성군,37520,의성,4773000000,Uiseong-gun,의성,47730 의성군,50172,50
안동,#8497B0,10,158,안동시,37040,안동,4717000000,Andong-si,안동,47170 안동시,155020,155
영양,#8497B0,10,159,영양군,37540,영양,4776000000,Yeongyang-gun,영양,47760 영양군,16066,16
울릉,#8497B0,10,160,울릉군,37630,울릉,4794000000,Ulleung-gun,울릉,47940 울릉군,9013,9
당진,#669900,10,161,당진시,34080,당진,4427000000,Dangjin-si,당진,44270 당진시,167755,167
화성,#C00000,10,162,화성시,31240,화성,4159000000,Hwaseong-si,화성,41590 화성시,904267,904
오산,#C00000,10,163,오산시,31140,오산,4137000000,Osan-si,오산,41370 오산시,229821,229
수원 장안,#C00000,10,164,장안구,31011,장안,4111100000,Jangan-gu,수원 장안,41111 장안구,271305,271
안양 만안,#C00000,10,165,만안구,31041,만안,4117100000,Manan-gu,안양 만안,41171 만안구,234331,234
안양 동안,#C00000,10,166,동안구,31042,동안,4117300000,Dongan-gu,안양 동안,41173 동안구,314041,314
과천,#C00000,10,167,과천시,31110,과천,4129000000,Gwacheon-si,과천,41290 과천시,77818,77
성남 수정,#C00000,10,168,수정구,31021,수정,4113100000,Sujeong-gu,성남 수정,41131 수정구,232663,232
서울 서초,#FF0000,10,169,서초구,11220,서초,1165000000,Seocho-gu,서초,11650 서초구,404902,404
서울 강남,#FF0000,10,170,강남구,11230,강남,1168000000,Gangnam-gu,강남,11680 강남구,529946,529
용인,#C00000,10,171,용인시,31190,용인,4146000000,Yongin-si,용인,41460 용인시,1076369,1076
문경,#8497B0,10,172,문경시,37090,문경,4728000000,Mungyeong-si,문경,47280 문경시,70847,70
예천,#8497B0,10,173,예천군,37600,예천,4790000000,Yecheon-gun,예천,47900 예천군,55793,55
영주,#8497B0,10,174,영주시,37060,영주,4721000000,Yeongju-si,영주,47210 영주시,100901,100
봉화,#8497B0,10,175,봉화군,37610,봉화,4792000000,Bonghwa-gun,봉화,47920 봉화군,30272,30
울진,#8497B0,10,176,울진군,37620,울진,4793000000,Uljin-gun,울진,47930 울진군,47123,47
인천 연수,#FF5050,10,177,연수구,23040,연수,2818500000,Yeonsu-gu,연수,28185 연수구,385884,385
인천 남동,#FF5050,10,178,남동구,23050,남동,2820000000,Namdong-gu,남동,28200 남동구,507567,507
안산 단원,#C00000,10,179,단원구,31092,단원,4127300000,Danwon-gu,안산 단원,41273 단원구,297994,297
안산 상록,#C00000,10,180,상록구,31091,상록,4127100000,Sangnok-gu,안산 상록,41271 상록구,346589,346
서울 구로,#FF0000,10,181,구로구,11170,구로,1153000000,Guro-gu,구로,11530 구로구,394212,394
서울 영등포,#FF0000,10,182,영등포구,11190,영등포,1156000000,Yeongdeungpo-gu,영등포,11560 영등포구,375849,375
서울 금천,#FF0000,10,183,금천구,11180,금천,1154500000,Geumcheon-gu,금천,11545 금천구,230156,230
서울 관악,#FF0000,10,184,관악구,11210,관악,1162000000,Gwanak-gu,관악,11620 관악구,487201,487
서울 성동,#FF0000,10,185,성동구,11040,성동,1120000000,Seongdong-gu,성동,11200 성동구,281694,281
서울 송파,#FF0000,10,186,송파구,11240,송파,1171000000,Songpa-gu,송파,11710 송파구,659788,659
이천,#C00000,10,187,이천시,31210,이천,4150000000,Icheon-si,이천,41500 이천시,224077,224
원주,#FFC000,10,188,원주시,32020,원주,4213000000,Wonju-si,원주,42130 원주시,360581,360
영월,#FFC000,10,189,영월군,32530,영월,4275000000,Yeongwol-gun,영월,42750 영월군,37797,37
정선,#FFC000,10,190,정선군,32550,정선,4277000000,Jeongseon-gun,정선,42770 정선군,35027,35
태백,#FFC000,10,191,태백시,32050,태백,4219000000,Taebaek-si,태백,42190 태백시,39553,39
삼척,#FFC000,10,192,삼척시,32070,삼척,4223000000,Samcheok-si,삼척,42230 삼척시,63687,63
인천 중구,#FF5050,10,193,중구,23010,중구,2811000000,Jung-gu,중구,28110 중구,151310,151
인천 미추홀,#FF5050,10,194,미추홀구,23090,미추홀,2817700000,Michuhol-gu,미추홀,28177 미추홀구,407190,407
시흥,#C00000,10,195,시흥시,31150,시흥,4139000000,Siheung-si,시흥,41390 시흥시,512168,512
광명,#C00000,10,196,광명시,31060,광명,4121000000,Gwangmyeong-si,광명,41210 광명시,288366,288
서울 강서,#FF0000,10,197,강서구,11160,강서,1150000000,Gangseo-gu,강서,11500 강서구,570011,570
서울 양천,#FF0000,10,198,양천구,11150,양천,1147000000,Yangcheon-gu,양천,11470 양천구,441749,441
서울 동작,#FF0000,10,199,동작구,11200,동작,1159000000,Dongjak-gu,동작,11590 동작구,382747,382
서울 용산,#FF0000,10,200,용산구,11030,용산,1117000000,Yongsan-gu,용산,11170 용산구,219102,219
서울 동대문,#FF0000,10,201,동대문구,11060,동대문,1123000000,Dongdaemun-gu,동대문,11230 동대문구,337273,337
서울 광진,#FF0000,10,202,광진구,11050,광진,1121500000,Gwangjin-gu,광진,11215 광진구,337900,337
서울 강동,#FF0000,10,203,강동구,11250,강동,1174000000,Gangdong-gu,강동,11740 강동구,460413,460
여주,#C00000,10,204,여주시,31280,여주,4167000000,Yeoju-si,여주,41670 여주시,113027,113
횡성,#FFC000,10,205,횡성군,32520,횡성,4273000000,Hoengseong-gun,횡성,42730 횡성군,46516,46
평창,#FFC000,10,206,평창군,32540,평창,4276000000,Pyeongchang-gun,평창,42760 평창군,40982,40
동해,#FFC000,10,207,동해시,32040,동해,4217000000,Donghae-si,동해,42170 동해시,89421,89
강릉,#FFC000,10,208,강릉시,32030,강릉,4215000000,Gangneung-si,강릉,42150 강릉시,211742,211
인천 동구,#FF5050,10,209,동구,23020,동구,2814000000,Dong-gu,동구,28140 동구,58574,58
인천 부평,#FF5050,10,210,부평구,23060,부평,2823700000,Bupyeong-gu,부평,28237 부평구,489329,489
고양 일산동,#C00000,10,211,일산동구,31103,일산동,4128500000,Ilsandong-gu,고양 일산동,41285 일산동구,297055,297
부천,#C00000,10,212,부천시,31050,부천,4119000000,Bucheon-si,부천,41190 부천시,792561,792
서울 마포,#FF0000,10,213,마포구,11140,마포,1144000000,Mapo-gu,마포,11440 마포구,364698,364
서울 종로,#FF0000,10,214,종로구,11010,종로,1111000000,Jongno-gu,종로,11110 종로구,141861,141
서울 중구,#FF0000,10,215,중구,11020,중구,1114000000,Jung-gu,중구,11140 중구,120648,120
서울 성북,#FF0000,10,216,성북구,11080,성북,1129000000,Seongbuk-gu,성북,11290 성북구,431581,431
서울 도봉,#FF0000,10,217,도봉구,11100,도봉,1132000000,Dobong-gu,도봉,11320 도봉구,312427,312
서울 노원,#FF0000,10,218,노원구,11110,노원,1135000000,Nowon-gu,노원,11350 노원구,505058,505
서울 중랑,#FF0000,10,219,중랑구,11070,중랑,1126000000,Jungnang-gu,중랑,11260 중랑구,385976,385
양평,#C00000,10,220,양평군,31580,양평,4183000000,Yangpyeong-gun,양평,41830 양평군,122613,122
춘천,#FFC000,10,221,춘천시,32010,춘천,4211000000,Chuncheon-si,춘천,42110 춘천시,286466,286
홍천,#FFC000,10,222,홍천군,32510,홍천,4272000000,Hongcheon-gun,홍천,42720 홍천군,67830,67
속초,#FFC000,10,223,속초시,32060,속초,4221000000,Sokcho-si,속초,42210 속초시,82781,82
양양,#FFC000,10,224,양양군,32610,양양,4283000000,Yangyang-gun,양양,42830 양양군,27859,27
인천 서구,#FF5050,10,225,서구,23080,서구,2826000000,Seo-gu,서구,28260 서구,581974,581
인천 계양,#FF5050,10,226,계양구,23070,계양,2824500000,Gyeyang-gu,계양,28245 계양구,290068,290
고양 일산서,#C00000,10,227,일산서구,31104,일산서,4128700000,Ilsanseo-gu,고양 일산서,41287 일산서구,291302,291
고양 덕양,#C00000,10,228,덕양구,31101,덕양,4128100000,Deogyang-gu,고양 덕양,41281 덕양구,486427,486
양주,#C00000,10,229,양주시,31260,양주,4163000000,Yangju-si,양주,41630 양주시,239697,239
서울 서대문,#FF0000,10,230,서대문구,11130,서대문,1141000000,Seodaemun-gu,서대문,11410 서대문구,305113,305
서울 은평,#FF0000,10,231,은평구,11120,은평,1138000000,Eunpyeong-gu,은평,11380 은평구,468988,468
서울 강북,#FF0000,10,232,강북구,11090,강북,1130500000,Gangbuk-gu,강북,11305 강북구,294429,294
구리,#C00000,10,233,구리시,31120,구리,4131000000,Guri-si,구리,41310 구리시,189008,189
남양주,#C00000,10,234,남양주시,31130,남양주,4136000000,Namyangju-si,남양주,41360 남양주시,737352,737
가평,#C00000,10,235,가평군,31570,가평,4182000000,Gapyeong-gun,가평,41820 가평군,62219,62
철원,#FFC000,10,236,철원군,32560,철원,4278000000,Cheorwon-gun,철원,42780 철원군,42500,42
화천,#FFC000,10,237,화천군,32570,화천,4279000000,Hwacheon-gun,화천,42790 화천군,23620,23
양구,#FFC000,10,238,양구군,32580,양구,4280000000,Yanggu-gun,양구,42800 양구군,21449,21
인제,#FFC000,10,239,인제군,32590,인제,4281000000,Inje-gun,인제,42810 인제군,32135,32
고성 (강원),#FFC000,10,240,고성군,32600,고성,4282000000,Goseong-gun,고성,42820 고성군,27393,27
인천 옹진,#FF5050,10,241,옹진군,23520,옹진,2872000000,Ongjin-gun,옹진,28720 옹진군,20683,20
인천 강화,#FF5050,10,242,강화군,23510,강화,2871000000,Ganghwa-gun,강화,28710 강화군,69809,69
김포,#C00000,10,243,김포시,31230,김포,4157000000,Gimpo-si,김포,41570 김포시,484071,484
파주,#C00000,10,244,파주시,31200,파주,4148000000,Paju-si,파주,41480 파주시,493938,493
연천,#C00000,10,245,연천군,31550,연천,4180000000,Yeoncheon-gun,연천,41800 연천군,42240,42
의정부,#C00000,10,246,의정부시,31030,의정부,4115000000,Uijeongbu-si,의정부,41150 의정부시,463324,463
동두천,#C00000,10,247,동두천시,31080,동두천,4125000000,Dongducheon-si,동두천,41250 동두천시,91980,91
포천,#C00000,10,248,포천시,31270,포천,4165000000,Pocheon-si,포천,41650 포천시,147171,147
